gen_factor,gen_reduction_pct,total_min_gen,feasible,cost
1.0,0.0,3775.0,False,
0.975,2.500000000000002,3680.6249999999995,False,
0.95,5.000000000000004,3586.2499999999995,False,
0.925,7.499999999999996,3491.8750000000005,False,
0.9,9.999999999999998,3397.5000000000005,True,116170.809067926
0.875,12.5,3303.125,True,112943.8421493725
0.85,15.000000000000002,3208.75,True,109716.875230819
0.825,17.500000000000004,3114.3749999999995,True,106489.9083122655
0.8,19.999999999999996,3020.0000000000005,True,103262.941393712
0.775,22.499999999999996,2925.625,True,100035.9744751585
0.75,25.0,2831.25,True,96809.00755660499
0.725,27.500000000000004,2736.8749999999995,True,93582.04063805149
0.7,30.000000000000004,2642.4999999999995,True,90355.07371949799
0.675,32.49999999999999,2548.1250000000005,True,87128.1068009445
0.6499999999999999,35.00000000000001,2453.75,True,83901.13988239098
0.625,37.5,2359.375,True,80674.1729638375
0.6,40.0,2265.0,True,77447.206045284
0.575,42.50000000000001,2170.6249999999995,True,74220.23912673049
0.55,44.99999999999999,2076.2500000000005,True,70993.272208177
0.5249999999999999,47.50000000000001,1981.875,True,67766.30528962349
0.5,50.0,1887.5,True,64539.33837107
