load_factor,load_reduction_pct,total_load,feasible,cost
1.0,0.0,3327.595429000001,False,
0.975,2.500000000000002,3244.4055432749988,False,
0.95,5.000000000000004,3161.21565755,False,
0.925,7.499999999999996,3078.025771825,False,
0.9,9.999999999999998,2994.8358861,False,
0.875,12.5,2911.646000375,False,
0.85,15.000000000000002,2828.45611465,False,
0.825,17.500000000000004,2745.2662289249993,False,
0.8,19.999999999999996,2662.0763431999994,False,
0.775,22.499999999999996,2578.886457475,False,
0.75,25.0,2495.6965717499997,False,
0.725,27.500000000000004,2412.506686025,False,
0.7,30.000000000000004,2329.316800299999,False,
0.675,32.49999999999999,2246.1269145750002,False,
0.6499999999999999,35.00000000000001,2162.9370288499995,False,
0.625,37.5,2079.7471431249996,False,
0.6,40.0,1996.5572574000003,False,
0.575,42.50000000000001,1913.3673716749997,False,
0.55,44.99999999999999,1830.1774859500003,False,
0.5249999999999999,47.50000000000001,1746.9876002249998,False,
0.5,50.0,1663.7977145000004,False,
