load_factor,load_reduction_pct,total_load,feasible,cost
1.0,0.0,3335.0440969999986,False,
0.975,2.500000000000002,3251.6679945749993,False,
0.95,5.000000000000004,3168.29189215,False,
0.925,7.499999999999996,3084.915789725,False,
0.9,9.999999999999998,3001.5396873000004,False,
0.875,12.5,2918.1635848749997,False,
0.85,15.000000000000002,2834.7874824500004,False,
0.825,17.500000000000004,2751.4113800249993,False,
0.8,19.999999999999996,2668.0352776,False,
0.775,22.499999999999996,2584.659175175001,False,
0.75,25.0,2501.28307275,False,
0.725,27.500000000000004,2417.906970325,False,
0.7,30.000000000000004,2334.5308678999995,False,
0.675,32.49999999999999,2251.154765475,False,
0.6499999999999999,35.00000000000001,2167.7786630500004,False,
0.625,37.5,2084.4025606249998,False,
0.6,40.0,2001.0264581999995,False,
0.575,42.50000000000001,1917.6503557749995,False,
0.55,44.99999999999999,1834.2742533500002,False,
0.5249999999999999,47.50000000000001,1750.8981509249995,False,
0.5,50.0,1667.5220484999993,False,
