load_factor,load_reduction_pct,total_load,feasible,cost
1.0,0.0,3450.0042700000004,False,
0.975,2.500000000000002,3363.7541632499997,False,
0.95,5.000000000000004,3277.5040565000004,False,
0.925,7.499999999999996,3191.2539497499993,False,
0.9,9.999999999999998,3105.003843,False,
0.875,12.5,3018.7537362499997,False,
0.85,15.000000000000002,2932.5036295,False,
0.825,17.500000000000004,2846.2535227499993,False,
0.8,19.999999999999996,2760.003416000001,False,
0.775,22.499999999999996,2673.7533092499993,False,
0.75,25.0,2587.5032025000005,False,
0.725,27.500000000000004,2501.2530957499994,False,
0.7,30.000000000000004,2415.0029889999996,False,
0.675,32.49999999999999,2328.7528822500003,False,
0.6499999999999999,35.00000000000001,2242.5027754999996,False,
0.625,37.5,2156.25266875,False,
0.6,40.0,2070.0025619999997,False,
0.575,42.50000000000001,1983.75245525,False,
0.55,44.99999999999999,1897.5023485000004,False,
0.5249999999999999,47.50000000000001,1811.25224175,False,
0.5,50.0,1725.0021350000002,False,
