load_factor,load_reduction_pct,total_load,feasible,cost
1.0,0.0,3403.8880490000006,False,
0.975,2.500000000000002,3318.7908477749997,False,
0.95,5.000000000000004,3233.693646549999,False,
0.925,7.499999999999996,3148.596445325001,False,
0.9,9.999999999999998,3063.4992441000004,False,
0.875,12.5,2978.4020428750005,False,
0.85,15.000000000000002,2893.3048416499996,False,
0.825,17.500000000000004,2808.207640424999,False,
0.8,19.999999999999996,2723.1104391999993,False,
0.775,22.499999999999996,2638.0132379750007,False,
0.75,25.0,2552.91603675,False,
0.725,27.500000000000004,2467.8188355249995,False,
0.7,30.000000000000004,2382.7216343,False,
0.675,32.49999999999999,2297.6244330750005,False,
0.6499999999999999,35.00000000000001,2212.5272318499997,False,
0.625,37.5,2127.430030625,False,
0.6,40.0,2042.3328294000003,False,
0.575,42.50000000000001,1957.2356281749994,False,
0.55,44.99999999999999,1872.1384269500004,False,
0.5249999999999999,47.50000000000001,1787.0412257249995,False,
0.5,50.0,1701.9440245000003,False,
