load_factor,load_reduction_pct,total_load,feasible,cost
1.0,0.0,3316.3433050000012,False,
0.975,2.500000000000002,3233.434722375,False,
0.95,5.000000000000004,3150.52613975,False,
0.925,7.499999999999996,3067.6175571249996,False,
0.9,9.999999999999998,2984.7089745,False,
0.875,12.5,2901.800391874999,False,
0.85,15.000000000000002,2818.891809250001,False,
0.825,17.500000000000004,2735.983226625,False,
0.8,19.999999999999996,2653.0746440000007,False,
0.775,22.499999999999996,2570.1660613749996,False,
0.75,25.0,2487.25747875,False,
0.725,27.500000000000004,2404.3488961249996,False,
0.7,30.000000000000004,2321.4403135,False,
0.675,32.49999999999999,2238.531730875,False,
0.6499999999999999,35.00000000000001,2155.62314825,False,
0.625,37.5,2072.7145656250004,False,
0.6,40.0,1989.8059830000002,False,
0.575,42.50000000000001,1906.897400374999,False,
0.55,44.99999999999999,1823.98881775,False,
0.5249999999999999,47.50000000000001,1741.0802351250004,False,
0.5,50.0,1658.1716525000006,False,
